folder_path,speech_loudness,music_loudness,sfx_loudness,highlight_class,speech_loudness_change,music_loudness_change,sfx_loudness_change,target_mix,gain_speech,gain_music,gain_sfx
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/sEWuVNk2TKA/sub_video/sEWuVNk2TKA_000,-inf,-inf,-40.60566916286371,music,-12,12,-12,[0.         0.         0.         ... 0.0010198  0.00212319 0.00251106],0.0,0.0,0.2511889934539795
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/sEWuVNk2TKA/sub_video/sEWuVNk2TKA_006,-31.48477666943394,-inf,-42.263903368669745,music,-12,12,-12,"[-1.4661840e-05 -4.5391469e-05 -6.0819555e-05 ...  5.8679581e-03
  5.4855617e-03  5.2445708e-03]",0.2511884272098541,0.0,0.2511889636516571
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/sEWuVNk2TKA/sub_video/sEWuVNk2TKA_003,-30.555447973733937,-53.169907912029565,-41.25648215808869,music,-12,12,-12,"[-0.00078589 -0.00079756 -0.00082112 ...  0.00955457  0.00913528
  0.00934865]",0.2511879801750183,3.9810733795166016,0.2511896789073944
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/sEWuVNk2TKA/sub_video/sEWuVNk2TKA_002,-37.53551176078435,-45.915755023246426,-40.097614861120405,sfx,-12,-12,12,"[ 0.00046664  0.00047364  0.00046765 ... -0.03810164 -0.04082991
 -0.04021625]",0.2511880695819855,0.2511863112449646,3.981079578399658
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/sEWuVNk2TKA/sub_video/sEWuVNk2TKA_005,-31.512191206291934,-50.92984994150143,-39.361816669416825,sfx,-12,-12,12,"[ 1.16605974e-04  1.35725364e-04  1.07326348e-04 ... -3.75974655e-01
 -3.19608122e-01 -2.56272554e-01]",0.25118860602378845,0.2511890232563019,3.981071949005127
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/sEWuVNk2TKA/sub_video/sEWuVNk2TKA_007,-29.103208373548036,-48.81687101551478,-44.581116538796856,music,-12,12,-12,"[-0.00075909 -0.00071403 -0.00065506 ...  0.00322375  0.00304382
  0.00287391]",0.2511886656284332,3.981078863143921,0.2511884868144989
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/sEWuVNk2TKA/sub_video/sEWuVNk2TKA_004,-31.630499881274385,-63.9382353712616,-40.02243045526959,music,-12,12,-12,"[ 4.6464219e-04  4.2782616e-04  3.9791799e-04 ...  8.0872094e-05
 -1.1285195e-03 -1.9122135e-03]",0.2511882483959198,3.9810733795166016,0.25118887424468994
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/Q0okgIEkRJM/sub_video/Q0okgIEkRJM_000,-19.849938068418066,-23.548411441723882,-19.833546923218737,music,-12,12,-12,[0.         0.         0.         ... 0.07347745 0.07148957 0.06627278],0.10147138011775973,1.6082064482684368,0.10147100690714186
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/Q0okgIEkRJM/sub_video/Q0okgIEkRJM_003,-22.285290145508714,-30.604454721670795,-18.640813950202475,music,-12,12,-12,"[-0.00143148 -0.00924332 -0.01557912 ... -0.54463935 -0.59238803
 -0.5499238 ]",0.14264774067829436,2.260824480575528,0.14264929773468088
/home/cxu-serve/p62/chuang65/smart remixing/CondensedMovies_processed_Action/Q0okgIEkRJM/sub_video/Q0okgIEkRJM_010,-23.207258508743305,-28.545316422117327,-24.529230628142077,music,-12,12,-12,"[-0.03712721 -0.0361376  -0.03415372 ... -0.06664176 -0.09938205
 -0.03427258]",0.14218643630028027,2.2535136913230733,0.14218668934695322
